epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.18,2.08689,2.05402,0.90442,0.62671,0.40129,0.37608,0.17265,2.07329,1.32778,0.86249,0.000369386,0.000369386,0.000369386
2,251.669,1.92859,1.17143,0.89177,0.68127,0.39598,0.37903,0.18144,2.08701,1.13957,0.86698,0.000732396,0.000732396,0.000732396
3,358.859,1.89786,0.98822,0.88565,0.68817,0.41896,0.39283,0.1908,2.07911,1.14716,0.8566,0.00108807,0.00108807,0.00108807
4,470.269,1.85563,0.90836,0.87594,0.70059,0.42048,0.42127,0.19413,2.03616,1.0201,0.87142,0.001078,0.001078,0.001078
5,580.499,1.81668,0.8681,0.87622,0.76063,0.45855,0.47184,0.22601,1.98305,0.99011,0.8552,0.001067,0.001067,0.001067
6,759.927,1.79318,0.84515,0.87223,0.72617,0.41824,0.40284,0.1956,1.96883,1.03973,0.84691,0.00105601,0.00105601,0.00105601
7,938.437,1.77717,0.82768,0.86972,0.58823,0.4458,0.46271,0.2285,1.8964,0.89181,0.83881,0.00104501,0.00104501,0.00104501
8,1093.16,1.7505,0.80199,0.86311,0.77603,0.48379,0.48334,0.23812,1.93646,0.91698,0.84521,0.00103401,0.00103401,0.00103401
9,1271.81,1.74342,0.81694,0.86229,0.0006,0.03088,0.00012,2e-05,3.82844,inf,1.16542,0.00102301,0.00102301,0.00102301
10,1407.11,2.14535,2.87115,0.96765,0.29072,0.18104,0.0647,0.0211,3.1456,19.5121,1.79471,0.00101201,0.00101201,0.00101201
11,1531.07,3.33148,9.3199,2.31304,0.23701,0.06963,0.01922,0.00495,4.32369,22.3045,3.62528,0.00100101,0.00100101,0.00100101
12,1651.98,4.27995,13.642,3.45713,0.23664,0.07021,0.01893,0.00482,4.33237,22.0324,3.65904,0.000990012,0.000990012,0.000990012
13,1774.13,4.24147,13.668,3.53546,0.23651,0.07092,0.01887,0.0049,4.31787,22.4921,3.64247,0.000979013,0.000979013,0.000979013
14,1892.84,4.26236,13.5777,3.45907,0.23679,0.06923,0.01883,0.00483,4.32376,21.8057,3.63828,0.000968014,0.000968014,0.000968014
15,2013.92,4.26842,13.4577,3.52282,0.23679,0.07015,0.01902,0.00493,4.31703,22.3568,3.65027,0.000957015,0.000957015,0.000957015
16,2134.13,4.26999,13.6934,3.43843,0.2374,0.06969,0.0193,0.00494,4.32304,21.8428,3.6241,0.000946016,0.000946016,0.000946016
17,2252.18,4.26736,13.6015,3.49536,0.2372,0.06978,0.01918,0.00495,4.32381,22.5137,3.62298,0.000935018,0.000935018,0.000935018
18,2370.5,4.26011,13.6587,3.48688,0.23776,0.06943,0.01895,0.0048,4.32235,22.2508,3.64358,0.000924019,0.000924019,0.000924019
19,2493.2,4.26896,13.5505,3.4566,0.23642,0.07021,0.01953,0.00495,4.31853,21.8089,3.56916,0.00091302,0.00091302,0.00091302
20,2615.31,4.28088,13.5493,3.40465,0.23608,0.06995,0.01887,0.0048,4.34061,22.4642,3.69938,0.000902021,0.000902021,0.000902021
21,2740.11,4.25942,13.6074,3.38523,0.23663,0.06878,0.01892,0.00485,4.3314,22.7086,3.65129,0.000891022,0.000891022,0.000891022
22,2877.78,4.27055,13.5914,3.46405,0.23644,0.06969,0.01914,0.00495,4.32712,22.6516,3.66984,0.000880023,0.000880023,0.000880023
23,3007.4,4.27352,13.6666,3.52286,0.23733,0.06989,0.01902,0.00486,4.33829,21.5345,3.64708,0.000869024,0.000869024,0.000869024
24,3140.27,4.25837,13.2549,3.44116,0.23721,0.07073,0.01896,0.00485,4.32419,22.362,3.63712,0.000858025,0.000858025,0.000858025
25,3388.31,4.26595,13.4584,3.50959,0.23721,0.07073,0.01896,0.00485,4.32419,22.362,3.63712,0.000847026,0.000847026,0.000847026
26,3517.2,4.26072,13.5751,3.44983,0.23611,0.07047,0.01902,0.00489,4.31324,21.5633,3.60625,0.000836027,0.000836027,0.000836027
27,3770.52,4.26381,13.5604,3.45783,0.23611,0.07047,0.01902,0.00489,4.31324,21.5633,3.60625,0.000825029,0.000825029,0.000825029
28,4029.08,4.28258,13.6014,3.43285,0.23611,0.07047,0.01902,0.00489,4.31324,21.5633,3.60625,0.00081403,0.00081403,0.00081403
